Project Name,Phase,Planned Duration,Actual Duration,Project Budget,Estimate of Actual Costs-End of Phase,Total Phase Actual Spending
21K216P.S. 214 - BROOKLYNSCA CIP RESOAFY15 RESO A SUPPLEMENTAL COOLING,Scope,60,35,0,13161,1663
21K216P.S. 216 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,265,100,50000,49625,49625
21K225P.S. 225 - BROOKLYNSCA CIPFLOOD ELMNTN/ROOFS/EXTERIOR MASONRY/PARAPETS,Scope,139,238,130154,118740,118740
21K225P.S. 225 - BROOKLYNSCA CIPFLOOD ELMNTN/ROOFS/EXTERIOR MASONRY/PARAPETS,Design,152,449,520619,543405,489332
21K225K771 SPED - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,249,92,125000,124062,124062
21K225K771 SPED - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,249,92,50000,49625,49625
21K226P.S. 226 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,61,64,50000,49552,49552
21K237THE BROOKLYN SCHOOL OF INQUIRYSCA CIP RESOARESO A ROOFTOP GREENHOUSE,Scope,105,75,0,56694,56694
26Q208Q993 SPED - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,128,80000,79400,79400
26Q213P.S. 213 - QUEENSSCA CIP RESOAFY17 RESO A SUPPLEMENTAL COOLING,Scope,64,41,0,14924,14924
26Q213P.S. 213 - QUEENSSCA CIP RESOAFY17 RESO A SUPPLEMENTAL COOLING,Design,94,107,8674,49333,7309
26Q216J.H.S. 216 - QUEENSSCA CIPPLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Scope,154,115,90011,56826,46640
26Q216J.H.S. 216 - QUEENSSCA CIPPLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Design,153,158,360045,111457,96157
26Q216J.H.S. 216 - QUEENSSCA CIP RESOAFY17 RESO A ELECTRICAL SYSTEMS,Scope,59,39,0,5978,0
26Q266P.S./I.S. 266 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,79,93000,92303,92303
26Q266P.S./I.S. 266 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,79,100000,99045,99045
26Q332P.S. 332 - QUEENSSCA CapacityNEW SCHOOL,Scope,163,156,1666075,1205005,1203154
26Q332P.S. 332 - QUEENSSCA CapacityNEW SCHOOL,Design,225,245,5331440,3715634,3025111
26Q332P.S. 332 - QUEENSSCA CapacityNEW SCHOOL,Construction,659,726,74773446,70104321,67144491
26Q332P.S. 332 - QUEENSSCA CapacityNEW SCHOOL,"CM,Art,F&E",659,726,10529594,8251147,6659254
26Q405BAYSIDE HIGH SCHOOL - QUEENSSCA CIPTCU REMOVAL / PLAYGROUND REDEVELOPMENT,Scope,90,90,25590,17536,17536
26Q405BAYSIDE HIGH SCHOOL - QUEENSSCA CIPTCU REMOVAL / PLAYGROUND REDEVELOPMENT,Design,183,152,93830,84675,84298
26Q405BAYSIDE HIGH SCHOOL - QUEENSSCA CIP RESOAFY16 RESO A ROOM CONVERSIONS / MUSIC SUITE UPGRADE,Scope,120,62,0,13721,13721
26Q405BAYSIDE HIGH SCHOOL - QUEENSSCA CIP RESOAFY16 RESO A ROOM CONVERSIONS / MUSIC SUITE UPGRADE,Design,153,163,51000,67482,53503
26Q415BENJAMIN N. CARDOZO HS - QUEENSCA CIPTCU REMOVAL & PLAYGROUND REDEVELOPMENT,Scope,183,122,43832,25308,25226
26Q415BENJAMIN N. CARDOZO HS - QUEENSCA CIPTCU REMOVAL & PLAYGROUND REDEVELOPMENT,Design,209,153,175327,82149,82149
26Q416BENJAMIN N. CARDOZO HS - QSCA CIPATHLETIC FIELDS,Scope,183,122,74633,73564,72682
26Q416BENJAMIN N. CARDOZO HS - QSCA CIPATHLETIC FIELDS,Design,209,153,298530,151279,146842
26Q430FRANCIS LEWIS HS - QUEENSSCA CIPWATER PENETRATION,Scope,136,214,22035,79442,76999
26Q430FRANCIS LEWIS HS - QUEENSSCA CIPWATER PENETRATION,Design,153,279,88140,147732,133105
26Q430FRANCIS LEWIS HS - QUEENSSCA CIPIP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,125,9,8576,2032,2032
26Q430FRANCIS LEWIS HS - QUEENSSCA CIP RESOAFY15 RESO A AUDITORIUM UPGRADE,Scope,121,154,0,13531,2603
26Q430FRANCIS LEWIS HS - QUEENSSCA CIP RESOAFY15 RESO A AUDITORIUM UPGRADE,Design,154,93,39000,61356,42129
26Q434FRANCIS LEWIS HS ANNEX - QUEENSCA CapacityNEW SCHOOL,Scope,164,164,1332600,471716,354521
26Q434FRANCIS LEWIS HS ANNEX - QUEENSCA CIPDEMOLITION,Scope,0,0,34320,26258,26258
26Q434FRANCIS LEWIS HS ANNEX - QUEENSCA CIPDEMOLITION,Design,119,136,137280,137405,123947
26Q435MARTIN VAN BUREN HS - QUEENSSCA CIPRENEWAL SCHOOL BASED HEALTH CENTER,Scope,92,161,27435,28278,28278
26Q435MARTIN VAN BUREN HS - QUEENSSCA CIPRENEWAL SCHOOL BASED HEALTH CENTER,Design,92,86,109740,117380,105293
26Q435MARTIN VAN BUREN HS - QUEENSSCA CIPIP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,125,57,9686,1729,1729
26Q435P.S. 225 - MANHATTANSCA CIP RESOAFY15 RESO A SUPPLEMENTAL COOLING,Scope,61,39,0,15558,995
26Q435P.S. 225 - MANHATTANSCA CIP RESOAFY15 RESO A SUPPLEMENTAL COOLING,Design,101,73,8460,3976,3976
26Q435BUSINESS TECHNOLOGY EARLY COLLDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,244,55,35000,34736,34736
"26Q566QNS HS OF TEACH., LIB. ARTS&SCDIIT - RESOAFY17 RESO A TECHNOLOGY",Purch & Install,30,142,105000,104189,104189
26Q811Q811 SPED - QUEENSSCA CIPPLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Scope,122,84,85200,58307,58307
26Q811Q811 SPED - QUEENSSCA CIPPLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Design,156,240,340800,278812,253987
26Q811Q811 SPED - QUEENSSCA Emergency LightiLL 41/16 COMPLIANCE,Scope,0,0,720,515,515
21K237THE ACADAMY OF TALENTED SCHOLADIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,252,85,50000,49621,49621
21K238P.S. 238 - BROOKLYNSCA CIPEXTERIOR MASONRY/PARAPETS,Scope,136,161,116960,73767,71245
21K238P.S. 238 - BROOKLYNSCA CIPEXTERIOR MASONRY/PARAPETS,Design,154,260,459465,302417,256802
21K238P.S. 238 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,255,69,35000,34738,34738
21K238P.S. 238 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,255,69,50000,49624,49624
21K239I.S. 239 - BROOKLYNSCA CIP RESOAFY13 RESO A SUPPLEMENTAL COOLING,Scope,62,27,0,19439,3068
21K253P.S. 253 - BROOKLYNSCA CIPEXTERIOR MASONRY,Scope,137,150,41994,22605,12807
21K281HIGH SCHOOL PROGRAM - KSCA CIP RESOAFY 15 RESO A AIR CONDITIONING SPLIT SYSTEM,Scope,62,27,0,13113,1517
21K288P.S. 288 - BROOKLYNSCA CIPROOF,Scope,140,393,58501,48231,48231
21K288P.S. 288 - BROOKLYNSCA CIPROOF,Design,152,182,234003,163725,156552
21K288P.S. 288 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,238,142,150000,148875,148875
21K303R. CARSON SCL OF COASTAL ST-KSCA CIP RESOAFY16 RESO A ROOM CONVERSION,Scope,106,94,0,13819,2829
21K303R. CARSON SCL OF COASTAL ST-KSCA CIP RESOAFY16 RESO A ROOM CONVERSION,Design,156,171,35203,11608,11608
21K303R. CARSON SCL OF COASTAL ST-KSCA CIP RESOAFY16 RESO A ROOM CONVERSION,Construction,209,195,516304,232230,131713
21K303R. CARSON SCL OF COASTAL ST-KSCA CIP RESOAFY16 RESO A ROOM CONVERSION,"CM, F&E",209,195,361353,348993,98833
21K303R. CARSON SCL OF COASTAL ST-KDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,245,91,50000,49624,49624
21K370K370 SPED - BROOKLYNSCA CIPIP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,124,28,5723,2212,2212
21K400KINGSBOROUGH EARLY COLLEGE SCHDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,97,75000,74250,74250
21K400INTERNATIONAL HIGH SCHOOL - KDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,99,75000,53278,53278
21K406MIDWOOD HS - BROOKLYNSCA CIPCRACKED CONCRETE STRUCTURE/FIELD HOUSE,Scope,596,568,273166,481187,475229
21K406MIDWOOD HS - BROOKLYNSCA CIPCRACKED CONCRETE STRUCTURE/FIELD HOUSE,Design,253,399,1092660,1710616,1368310
21K410ABRAHAM LINCOLN HS - BROOKLYNSCA CIPIP SURVEILLANCE CAMERAS,Scope,126,118,8855,8499,8499
21K410ABRAHAM LINCOLN HS - BROOKLYNSCA CIPIP SURVEILLANCE CAMERAS,Design,181,64,32467,34243,34122
21K410ABRAHAM LINCOLN HS - BROOKLYNSCA CIPSANDY: INTERIOR/VENT/ELEC/FLOOD/ATHLETIC FIELD,Scope,826,794,629340,420487,401983
21K410ABRAHAM LINCOLN HS - BROOKLYNSCA CIPSANDY: INTERIOR/VENT/ELEC/FLOOD/ATHLETIC FIELD,Design,192,95,2479421,1782158,1565385
21K411ABRAHAM LINCOLN HS - BROOKLYNSCA CIPSANDY: INTERIOR/VENT/ELEC/FLOOD/ATHLETIC FIELD,Scope,826,794,25215,31870,31282
21K411ABRAHAM LINCOLN HS - BROOKLYNSCA CIPSANDY: INTERIOR/VENT/ELEC/FLOOD/ATHLETIC FIELD,Design,192,95,100858,83899,81807
21K525MURROW H.S.SCA CIP RESOAFY11 RESO A TV STUDIO UPGRADE,Scope,134,166,0,29082,29082
21K525EDWARD R. MURROW HS - KDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,234,67,50000,49622,49622
21K540JOHN DEWEY HS - BROOKLYNSCA CIPIP SURVEILLANCE CAMERAS,Scope,122,191,6469,10125,10125
21K540JOHN DEWEY HS - BROOKLYNSCA CIPIP SURVEILLANCE CAMERAS,Design,180,63,23721,40568,40568
21K540JOHN DEWEY HS - BROOKLYNSCA CIP RESOAFY17 RESO A CULINARY ARTS KITCHEN UPGRADES,Scope,120,83,0,30428,30428
21K540JOHN DEWEY HS - BROOKLYNSCA CIP RESOAFY17 RESO A CULINARY ARTS KITCHEN UPGRADES,Design,184,99,150000,100398,3203
21K620WILLIAM E. GRADY VOC HS - KSCA CIPIP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,126,25,6034,1302,1302
21K620WILLIAM E. GRADY VOC HS - KSCA CIP RESOAFY16 RESO A CULINARY ARTS ROOM,Scope,121,94,0,16273,16273
21K620WILLIAM E. GRADY VOC HS - KSCA CIP RESOAFY16 RESO A CULINARY ARTS ROOM,Design,137,396,125607,136672,119950
21K721BKLYN STUDIO SEC. SCL - BROOKLSCA CIPEXT MASONRY/ROOFS/WINDOWS,Scope,138,237,84671,66519,64657
21K721BKLYN STUDIO SEC. SCL - BROOKLSCA CIPEXT MASONRY/ROOFS/WINDOWS,Design,154,203,324224,223533,188822
26Q811Q811 SPED - QUEENSSCA Emergency LightiLL 41/16 COMPLIANCE,Design,165,138,2600,20144,20144
26QALPPS 23 @ HILLSIDE PSYCH - QDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,244,51,125000,123847,123847
26QAPMPS 23 @ HILLSIDE PSYCH - QDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,244,51,35000,34738,34738
27Q042P.S. 42 - QUEENSSCA CIPSANDY:INT/HEATING/FLOOD/CLIMATE/PIPING/HVAC/ELEC,Scope,153,60,251956,235743,204532
27Q042P.S. 42 - QUEENSSCA CIPSANDY:INT/HEATING/FLOOD/CLIMATE/PIPING/HVAC/ELEC,Design,153,156,991112,1126732,887519
27Q043P.S. 43 - QUEENSSCA CIPSANDY-INTERIOR/HEATING/FLOOD/ SHINGLE ROOF/CLIMATE,Scope,153,54,225001,139638,139638
27Q043P.S. 43 - QUEENSSCA CIPSANDY-INTERIOR/HEATING/FLOOD/ SHINGLE ROOF/CLIMATE,Design,153,133,900000,840235,738711
27Q043P.S. 43 - QUEENSSCA CIPSANDY-INTERIOR/HEATING/FLOOD/ SHINGLE ROOF/CLIMATE,Construction,729,968,16875000,16111272,14975202
27Q043P.S. 43 - QUEENSSCA CIPSANDY-INTERIOR/HEATING/FLOOD/ SHINGLE ROOF/CLIMATE,"CM, F&E",729,968,1050000,580673,538667
27Q043P.S. 43 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,85,35000,34735,34735
27Q043Q256 SPED - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,244,133,100000,99250,99250
27Q045P.S. 45 - QUEENSSCA CIP RESOAFY15 RESO A AUDITORIUM UPGRADE,Scope,123,113,0,7733,7733
27Q045P.S. 45 - QUEENSSCA CIP RESOAFY15 RESO A AUDITORIUM UPGRADE,Design,153,261,15325,36363,35583
27Q045P.S. 45 - QUEENSSCA CIP RESOAFY15 RESO A AUDITORIUM UPGRADE,Construction,269,267,224766,198939,156447
27Q045P.S. 45 - QUEENSSCA CIP RESOAFY15 RESO A AUDITORIUM UPGRADE,"CM, F&E",269,267,15325,22142,21735
27Q047P.S. 47 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,36,35000,34736,34736
27Q047P.S. 47 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,36,45000,44663,44663
27Q051P.S. 51 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,30,91,35000,34669,34669
27Q053I.S. 53 - QUEENSSCA CIPCONCRETE/FLOOD/PARAPETS/ ROOFS/WINDOWS/C OF O,Scope,135,77,259500,248056,208932
27Q053I.S. 53 - QUEENSSCA CIPCONCRETE/FLOOD/PARAPETS/ ROOFS/WINDOWS/C OF O,Design,156,237,1038000,791851,604056
27Q053I.S. 53 - QUEENSSCA CIPELECTRICAL UPGRADE,Scope,122,91,21042,13012,13012
27Q060P.S. 60 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,45,63,35000,34413,34413
27Q060P.S. 60 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,244,63,40000,39700,39700
27Q063P.S. 63 - QUEENSSCA CIPWATER PENETRATION/EXT MASONRY/PARAPETS/ROOFS,Scope,141,105,76004,164695,164441
27Q063P.S. 63 - QUEENSSCA CIPWATER PENETRATION/EXT MASONRY/PARAPETS/ROOFS,Design,157,195,297024,367636,343064
27Q064P.S. 64 - QUEENSSCA CIPPLANYC BOILER CONVERSION/PLANYC CLIMATE CTRL/FA,Scope,156,198,102706,169445,133039
27Q064P.S. 64 - QUEENSSCA CIPPLANYC BOILER CONVERSION/PLANYC CLIMATE CTRL/FA,Design,151,163,404223,147231,146365
27Q066P.S. 66 - QUEENSSCA CapacityADDITION,Scope,183,201,693444,659289,659289
27Q066P.S. 66 - QUEENSSCA CapacityADDITION,Design,174,290,2219022,1889840,1142463
27Q090P.S. 90 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,244,118,35000,34738,34738
27Q090P.S. 90 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,244,118,40000,39696,39696
27Q096P.S. 96 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,53,120,35000,34736,34736
27Q100P.S. 100SCA CIPC OF O,Scope,166,294,16869,149904,95005
27Q100P.S. 100SCA CIPC OF O,Design,188,246,67476,95172,29517
27Q104P.S. 104 - QUEENSSCA CIPBOILER REPLACEMENT/CLIMATE CONTROL/HVAC,Scope,156,93,104070,105307,105307
27Q104P.S. 104 - QUEENSSCA CIPBOILER REPLACEMENT/CLIMATE CONTROL/HVAC,Design,152,333,414297,278622,240501
27Q105P.S. 105 - QUEENSSCA CIPSANDY:HEATING/ELEC/FLD/AUD/ PIPING/HVAC/INT/PAVED,Scope,153,68,334583,178204,173438
27Q105P.S. 105 - QUEENSSCA CIPSANDY:HEATING/ELEC/FLD/AUD/ PIPING/HVAC/INT/PAVED,Design,153,119,1327252,907663,833858
27Q114P.S. 114 - QUEENSSCA CIPSANDY:INT/HEATING/ELEC/FLOOD/CLIM/PLAYGRND/PIPING,Scope,153,61,257956,198415,193705
27Q114P.S. 114 - QUEENSSCA CIPSANDY:INT/HEATING/ELEC/FLOOD/CLIM/PLAYGRND/PIPING,Design,153,131,1007648,774240,705382
27Q114P.S. 114 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,234,75,35000,34736,34736
27Q123P.S. 123 - QUEENSSCA CIPTCU REMOVAL & PLAYGROUND REDEVELOPMENT,Scope,185,93,16230,54707,54707
22K014I.S. 14 - BROOKLYNSCA CIPWATER PENETRATION/PLANYC BOILER/PLANYC CLIMATE,Scope,154,78,129646,123419,108096
22K014I.S. 14 - BROOKLYNSCA CIPWATER PENETRATION/PLANYC BOILER/PLANYC CLIMATE,Design,152,111,514345,344808,326885
22K014I.S. 14 - BROOKLYNSCA CIP RESOAFY15 RESO A ROOM CONVERSIONS / PARTITIONING,Scope,120,107,0,7592,7592
22K052P.S. 52 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,280,158,150000,148873,148873
22K078I.S. 78 - BROOKLYNSCA CIPIP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,124,28,5422,1476,1476
22K119P.S. 119 - BROOKLYNSCA CIPPLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Scope,159,64,92326,89513,87462
22K119P.S. 119 - BROOKLYNSCA CIPPLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Design,153,170,362225,287065,270729
22K152P.S. 152 - BROOKLYNSCA CIPTCU REMOVAL & PLAYGROUND REDEVELOPMENT,Scope,184,148,17983,42398,42398
22K152P.S. 152 - BROOKLYNSCA CIPTCU REMOVAL & PLAYGROUND REDEVELOPMENT,Design,182,122,71933,121204,121204
22K152P.S. 152 - BROOKLYNSCA CIPTCU REMOVAL & PLAYGROUND REDEVELOPMENT,Construction,364,364,1348751,1296728,1086142
22K152P.S. 152 - BROOKLYNSCA CIPTCU REMOVAL & PLAYGROUND REDEVELOPMENT,"CM, F&E",364,364,83922,116576,116326
22K152P.S. 315 - BROOKLYNSCA CIPLOW VOLTAGE ELECTRICAL SYSTEM,Scope,94,62,18645,17673,17673
22K152P.S. 315 - BROOKLYNSCA CIPLOW VOLTAGE ELECTRICAL SYSTEM,Design,183,127,74580,67829,67829
22K152P.S. 152 - BROOKLYNSCA CIP RESOAFY14 RESO A SUPPLEMENTAL COOLING,Scope,121,132,0,18210,18210
22K152P.S. 152 - BROOKLYNSCA CIP RESOAFY14 RESO A SUPPLEMENTAL COOLING,Design,91,91,40860,13568,13568
22K152P.S. 315 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,238,95,35000,34737,34737
22K152P.S. 152 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,238,98,50000,49620,49620
22K194P.S. 194 - BROOKLYNSCA CIPMASONRY/WINDOWS/ROOFS/PARAPETS,Scope,141,151,82953,30779,30779
22K194P.S. 194 - BROOKLYNSCA CIPMASONRY/WINDOWS/ROOFS/PARAPETS,Design,152,196,320397,318868,289613
22K194P.S. 194 - BROOKLYNSCA CIPMASONRY/WINDOWS/ROOFS/PARAPETS,Construction,449,596,4983270,5111545,4453759
22K194P.S. 194 - BROOKLYNSCA CIPMASONRY/WINDOWS/ROOFS/PARAPETS,"CM, F&E",449,596,535458,641839,623568
27Q123P.S. 123 - QUEENSSCA CIPTCU REMOVAL & PLAYGROUND REDEVELOPMENT,Design,185,182,64920,155225,150847
27Q124P.S. 124 - QUEENSSCA CIPPLANYC BOILER CONVERSION/CLIMATE CTRL,Scope,156,36,89841,55554,55554
27Q124P.S. 124 - QUEENSSCA CIPPLANYC BOILER CONVERSION/CLIMATE CTRL,Design,154,155,359363,247708,247663
27Q155P.S. 155 - QUEENSSCA CIPTCU REMOVAL - PLAYGROUND REDEVELOPMENT,Scope,184,105,21174,23699,23699
27Q155P.S. 155 - QUEENSSCA CIPTCU REMOVAL - PLAYGROUND REDEVELOPMENT,Design,181,126,84694,89499,89499
27Q180THE SCHOLARS ACADEMY - QUEENSSCA CIPCONDENSATION RESOLUTION,Scope,151,70,88912,80715,80715
27Q180THE SCHOLARS ACADEMY - QUEENSSCA CIPSANDY:AC/FLOOD/ELEC/HEAT/INTER/NON-SANDY:CLIM CTRL,Scope,156,157,284895,235797,232153
27Q180THE SCHOLARS ACADEMY - QUEENSSCA CIPSANDY:AC/FLOOD/ELEC/HEAT/INTER/NON-SANDY:CLIM CTRL,Design,152,53,976687,1544285,1253879
27Q180THE SCHOLARS ACADEMY - QUEENSSCA CIPSANDY:AC/FLOOD/ELEC/HEAT/INTER/NON-SANDY:CLIM CTRL,Construction,729,1165,15407954,21426535,17502074
27Q180THE SCHOLARS ACADEMY - QUEENSSCA CIPSANDY:AC/FLOOD/ELEC/HEAT/INTER/NON-SANDY:CLIM CTRL,"CM, F&E",729,1165,1289492,1188498,990826
27Q180THE SCHOLARS ACADEMY - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,262,90,35000,34735,34735
27Q183P.S. 183 - QUEENSSCA CIPIP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,126,23,6182,2874,2874
27Q198P.S. 333 - QUEENSSCA CIPREINF SLAB/HEATING PLT/ELEC/FLOOD ELIM/CLIM CTRL,Scope,153,68,194850,139811,136204
27Q198P.S. 333 - QUEENSSCA CIPREINF SLAB/HEATING PLT/ELEC/FLOOD ELIM/CLIM CTRL,Design,153,111,779399,787473,659851
27Q198P.S. 333 - QUEENSSCA CIPREINF SLAB/HEATING PLT/ELEC/FLOOD ELIM/CLIM CTRL,Construction,729,1044,14613751,14329178,12985756
27Q198P.S. 333 - QUEENSSCA CIPREINF SLAB/HEATING PLT/ELEC/FLOOD ELIM/CLIM CTRL,"CM, F&E",729,1044,909301,998524,979093
27Q202I.S. 202 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,244,100,100000,99230,99230
27Q210I.S. 210 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,249,77,40000,37000,37000
27Q215P.S. 215 - QUEENSSCA CIPLOW VOLTAGE ELECTRICAL SYSTEM,Scope,93,99,18195,18121,18121
27Q215P.S. 215 - QUEENSSCA CIPLOW VOLTAGE ELECTRICAL SYSTEM,Design,187,285,72780,107298,106006
27Q215P.S. 215 - QUEENSSCA CIPSOLAR PANEL,Scope,137,112,31566,66591,66591
27Q215P.S. 215 - QUEENSSCA CIPSOLAR PANEL,Design,154,148,126263,128727,95376
27Q223P.S. 223SCA CIPWINDOWS/EXT MASONRY/PARAPETS,Scope,136,59,96322,68381,68381
27Q223P.S. 223SCA CIPWINDOWS/EXT MASONRY/PARAPETS,Design,159,159,329594,364350,280169
27Q225P.S. 317 - QUEENSSCA CIPSANDY: HEAT/FLOOD/ELEC/ INTERIOR/NON-SANDY:CLIMATE,Scope,153,117,110829,125367,120700
27Q225P.S. 317 - QUEENSSCA CIPSANDY: HEAT/FLOOD/ELEC/ INTERIOR/NON-SANDY:CLIMATE,Design,153,175,432817,780537,697955
27Q225P.S. 317 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,238,57,35000,34714,34714
27Q225P.S. 317 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,238,57,45000,44663,44663
27Q226I.S. 226 - QUEENSSCA CIPTCU REMOVAL AND PLAYGROUND REDEVELOPMENT,Scope,93,37,59400,52662,52662
27Q226I.S. 226 - QUEENSSCA CIPTCU REMOVAL AND PLAYGROUND REDEVELOPMENT,Design,140,172,237600,250424,220540
27Q254P.S. 254 - QUEENSSCA CIPROOF/PARAPETS/EXT MASONRY/PAVED AREA CONCRETE,Scope,141,140,121449,167511,166281
27Q254P.S. 254 - QUEENSSCA CIPROOF/PARAPETS/EXT MASONRY/PAVED AREA CONCRETE,Design,157,184,477696,458395,390847
27Q262P.S. 306 - QUEENSDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,249,124,40000,39691,39691
27Q335P.S. 335 - QUEENSSCA CapacityNEW SCHOOL,Scope,141,161,1772125,1701133,1700120
27Q335P.S. 335 - QUEENSSCA CapacityNEW SCHOOL,Design,202,335,5670800,6542075,6239717
27Q335P.S. 335 - QUEENSSCA CapacityNEW SCHOOL,Construction,839,833,79532970,74077361,71287696
27Q335P.S. 335 - QUEENSSCA CapacityNEW SCHOOL,"CM,Art,F&E",839,833,11199830,8675279,7094880
27Q400AUGUST MARTIN HS - QUEENSSCA CIPLIBRARY UPGRADE,Scope,125,125,24660,47161,47161
27Q400AUGUST MARTIN HS - QUEENSSCA CIPLIBRARY UPGRADE,Design,136,136,98640,189511,188712
27Q400AUGUST MARTIN HS - QUEENSSCA CIPRENEWAL SCHOOL BASED HEALTH CENTER,Scope,90,77,25230,25910,25910
27Q400AUGUST MARTIN HS - QUEENSSCA CIPRENEWAL SCHOOL BASED HEALTH CENTER,Design,123,70,100920,109289,101450
27Q400AUGUST MARTIN HS - QUEENSSCA CIPRENEWAL SCHOOL BASED HEALTH CENTER,Construction,299,299,1892250,1775109,1654153
27Q400AUGUST MARTIN HS - QUEENSSCA CIPRENEWAL SCHOOL BASED HEALTH CENTER,"CM, F&E",299,299,138040,193447,174586
27Q400AUGUST MARTIN HS - QUEENSSCA CIPPLANYC BOILER/PLANYC CLIMATE CONTROL,Scope,154,102,153826,110856,103426
27Q400AUGUST MARTIN HS - QUEENSSCA CIPIP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,124,14,10231,2799,2799
27Q400AUGUST MARTIN HS - QUEENSSCA Emergency LightiLL 41/16 COMPLIANCE,Scope,0,0,720,170,170
27Q400AUGUST MARTIN HS - QUEENSSCA Emergency LightiLL 41/16 COMPLIANCE,Design,165,138,2600,9846,9846
22K197P.S. 197 - BROOKLYNSCA CIPEXT MASONRY/PARAPETS/ROOFS/WINDOWS/FLOOD/PIPING,Scope,268,113,236092,141792,141058
22K197P.S. 197 - BROOKLYNSCA CIPEXT MASONRY/PARAPETS/ROOFS/WINDOWS/FLOOD/PIPING,Design,183,160,939017,439247,424028
22K197P.S. 197 - BROOKLYNDIIT - RESOAFY17 RESO A TECHNOLOGY,Purch & Install,265,135,158000,156814,156814
22K198P.S. 198 - BROOKLYNSCA CIPTCU REMOVAL AND PLAYGROUND,Scope,91,56,18464,26822,26822
22K198P.S. 198 - BROOKLYNSCA CIPTCU REMOVAL AND PLAYGROUND,Design,138,301,73858,109381,107581
22K198P.S. 198 - BROOKLYNSCA CIPTCU REMOVAL AND PLAYGROUND,Construction,364,385,1384836,1278301,1156333
22K198P.S. 198 - BROOKLYNSCA CIPTCU REMOVAL AND PLAYGROUND,"CM, F&E",364,385,86168,155090,154159
22K217P.S. 217 - BROOKLYNSCA CIPEXT MASONRY/FLOOD/WINDOWS/PARAPETS,Scope,140,309,167299,127599,127595
